a, e, i, pa, raan, ma 
8618483.060052505,0.184585,0.5977455982107739,0.7020953435290109,0.7020953435290109,3.777758184624718
8118986.174665533,0.1462263,0.5736042039971884,4.760130716743744,4.760130716743744,4.474713533506606
8314240.490471716,0.1661213,0.5743861115020819,1.8143011733746417,1.8143011733746417,1.1451332115137556
8815962.395888282,0.2026142,0.5979532923917612,2.7584562308627456,2.7584562308627456,4.603431565841188
8257482.238834283,0.1658915,0.5818892819564054,4.029422445457537,4.029422445457537,3.74579073404519
6946553.332481164,0.012893,0.8775428212564889,1.6975613356964967,1.6975613356964967,4.32706216944639
7023007.547384827,0.0023902,0.8443606215175727,4.955776889904551,4.955776889904551,3.163618708749962
7156131.978984824,0.0260035,1.164021164678838,4.791948069007599,4.791948069007599,0.8483609161631438
7103013.636075536,0.0200368,1.1639583328257663,4.052534095412445,4.052534095412445,4.430406605115478
7127696.797763702,0.0233128,1.1635987949998556,0.17592395261327246,0.17592395261327246,1.1207369992293787
7970136.123025249,0.0113856,0.8243085337414098,4.6876227582988905,4.6876227582988905,5.333228775257853
7978123.693511612,0.0109118,0.8240048464515629,2.5222381339100775,2.5222381339100775,1.988385548956312
7982511.9041532,0.0097832,0.8251340744776031,1.165000294389207,1.165000294389207,3.748370330679638
7463876.667953233,0.0165002,0.4944046532001897,1.3634250317191903,1.3634250317191903,5.589202254013846
7439307.894896654,0.0189229,0.49301013512784625,2.4348512435919734,2.4348512435919734,6.117103266218309
7944109.255847661,0.1166966,0.6781808421181847,1.907088112398416,1.907088112398416,2.449705740855697
7162622.285392331,0.0347944,0.6765681578893419,5.418917460213767,5.418917460213767,0.4144493748370775
7232115.05744242,0.0536264,0.5024977449416874,5.368653723085582,5.368653723085582,2.3012166187545233
6989716.157359042,0.0034111,0.8406221262598008,2.802354752208907,2.802354752208907,0.6673702727313316
7300156.542023641,0.0072793,1.1660387652941435,5.103166454576969,5.103166454576969,5.840332444095553
7307026.235854627,0.0072553,1.1661173051104834,0.6184644017611987,0.6184644017611987,5.431621711839033
7265380.506535681,0.0079618,1.1652551124599984,2.7625001587396167,2.7625001587396167,5.795388470527448
7189911.04364329,0.0100801,1.1646128312952642,4.323403959334209,4.323403959334209,5.564434286598794
7182667.481130221,0.0111816,1.1642672561033693,5.316552154255047,5.316552154255047,3.665147795956792
7272621.931606954,0.0087095,1.1649531704994032,2.2457849617111836,2.2457849617111836,4.184946989773499
7030125.939929019,0.0060928,1.1650701075592869,6.137279272371364,6.137279272371364,5.0143606115769925
7143639.946775631,0.0108759,1.1639373888747424,0.08372693487667197,0.08372693487667197,5.225796778480593
7164655.059858496,0.0081575,1.1614433133736424,2.939478290221094,2.939478290221094,1.9990006414669412
7251342.252634323,0.0078637,1.1672220985269959,0.6143890579577919,0.6143890579577919,2.3759900145684645
7144511.457309989,0.0061494,1.1643859384925048,0.6191887134007763,0.6191887134007763,5.360695021696487
7135112.245167015,0.0072732,1.1664209924003304,4.325196412476007,4.325196412476007,2.6138242864084797
7267205.088594044,0.0088553,1.163682570803951,4.975905772167802,4.975905772167802,5.340313066691698
7275867.752631498,0.0081154,1.1654156827511815,5.79061324969399,5.79061324969399,5.5217208438147365
7268723.7348239375,0.0081336,1.1647437309891637,3.493297441817674,3.493297441817674,3.0147683034936255
7291324.408926734,0.0082218,1.163450442013436,0.7640405693407936,0.7640405693407936,1.4627342661576677
7206304.708596878,0.0055638,1.171463248609342,0.11759504901162195,0.11759504901162195,6.205188288237211
7282238.67865537,0.0085922,1.1672570051120357,1.8461988107840897,1.8461988107840897,0.5293670887761401
7152946.333423596,0.0052356,1.1786103718962586,1.7773752423901976,1.7773752423901976,5.6457404498029495
7263713.757127921,0.0036449,1.172075859176792,2.7453331002170005,2.7453331002170005,0.5480997076377953
7315994.424716093,0.0047515,1.16217635165948,1.6320050236623378,1.6320050236623378,4.385665089740604
7305227.477648519,0.0038182,1.1606177726374494,1.7642119691716565,1.7642119691716565,5.717820802581064
7265827.174933182,0.0056677,1.168065092555709,1.7717378289062558,1.7717378289062558,4.615701230482707
7203121.939772288,0.0055448,1.1627208943861025,3.7669127086528253,3.7669127086528253,2.820844770304535
7248763.346623116,0.0153721,1.148021731425806,0.09407848267025033,0.09407848267025033,2.5270098640850303
7335525.784207643,0.0066835,1.1562753934584875,5.675243495478662,5.675243495478662,2.1765529862723243
7238520.752904862,0.0160572,1.1622130035737719,2.0941367936639006,2.0941367936639006,1.2400442162372072
7255122.002394299,0.0077329,1.16340157279438,4.880909246311003,4.880909246311003,4.265129160939371
7132222.381776259,0.0039013,1.1672831850508154,3.7238118027748253,3.7238118027748253,4.429382096844558
7778396.203144832,0.0613006,1.1707057757139763,0.43495699354801076,0.43495699354801076,1.8155386118143055
